sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMEA5619070	4853772	118	41133.66	564059	229	0	0	223987	8	145789	13	37626	23	SAMEA5619070	Escherichia coli
SAMEA6240716	5339039	177	30164.06	740730	201	0	0	281599	7	137416	12	47983	25	SAMEA6240716	Escherichia coli
SAMN39509426	5192709	109	47639.53	621640	204	0	0	270841	6	179357	11	62951	20	SAMN39509426	Escherichia coli
SAMN14518939	5159812	270	19110.41	736901	202	0	0	187983	8	130989	15	34757	29	SAMN14518939	Escherichia coli
SAMN23844074	5523491	472	11702.31	317087	201	0	0	61905	27	41580	49	9261	99	SAMN23844074	Escherichia coli
SAMN11381897	5339912	265	20150.61	360804	209	0	0	197249	10	152702	16	24989	32	SAMN11381897	Escherichia coli
SAMN22245338	5434554	471	11538.33	346817	200	0	0	121313	13	75380	25	14146	55	SAMN22245338	Escherichia coli
SAMN41120114	4734353	591	8010.75	88310	202	0	0	25061	57	14384	107	5145	209	SAMN41120114	Escherichia coli
SAMN18875226	5090471	147	34629.05	423088	202	0	0	167965	10	99008	18	37072	32	SAMN18875226	Escherichia coli
SAMEA112661686	5351497	204	26232.83	565747	203	0	0	242971	8	108453	16	40696	33	SAMEA112661686	Escherichia coli
SAMN14290477	4690294	550	8527.81	86643	211	0	0	26034	53	15331	100	5875	191	SAMN14290477	Escherichia coli
SAMEA110237195	4994781	170	29381.06	300950	200	0	0	145881	12	101106	20	38278	35	SAMEA110237195	Escherichia coli
SAMN13019240	5709999	703	8122.33	255888	200	0	0	57181	29	32368	55	7450	122	SAMN13019240	Escherichia coli
SAMN06127043	5201530	372	13982.61	376804	200	0	0	97204	14	60597	28	19443	57	SAMN06127043	Escherichia coli
SAMN15583083	5567613	496	11225.03	314040	201	0	0	146785	13	60822	24	19537	51	SAMN15583083	Escherichia coli
SAMN06847251	4872294	546	8923.62	80536	201	100	1	25362	56	14493	107	4959	213	SAMN06847251	Escherichia coli
SAMEA8893350	4617273	558	8274.68	88310	201	0	0	22223	60	13486	113	5268	219	SAMEA8893350	Escherichia coli
SAMEA113603532	5094484	139	36650.96	398545	202	0	0	206782	9	134819	16	34369	29	SAMEA113603532	Escherichia coli
SAMN14485295	4911145	116	42337.46	592590	202	0	0	193805	8	125606	14	41842	27	SAMN14485295	Escherichia coli
SAMN20285715	5427305	186	29179.06	376439	202	0	0	133269	13	90344	22	28624	42	SAMN20285715	Escherichia coli
SAMN28700037	5626869	583	9651.58	200377	201	0	0	117941	19	58457	32	14443	64	SAMN28700037	Escherichia coli
SAMN11942539	5607357	461	12163.46	503905	202	0	0	142178	11	84549	21	16652	47	SAMN11942539	Escherichia coli
SAMEA111331461	5154184	100	51541.84	386262	202	0	0	206869	9	139044	14	67543	26	SAMEA111331461	Escherichia coli
SAMN36381404	5121490	211	24272.46	846385	201	0	0	223846	8	131783	13	35911	24	SAMN36381404	Escherichia coli
SAMN19855173	5095383	193	26400.95	506647	203	0	0	192151	8	134575	14	62156	25	SAMN19855173	Escherichia coli
SAMN32934879	4802423	89	53959.81	521926	212	0	0	233541	7	153320	12	70543	21	SAMN32934879	Escherichia coli
SAMD00166682	5570709	558	9983.35	209206	202	0	0	63762	31	34562	54	11170	106	SAMD00166682	Escherichia coli
SAMN06893786	4987832	128	38967.44	384015	211	0	0	140243	11	73740	20	29547	41	SAMN06893786	Escherichia coli
SAMN15744993	5329200	138	38617.39	638227	218	0	0	201845	8	154054	14	40115	27	SAMN15744993	Escherichia coli
SAMN03952744	5620623	511	10999.26	364579	200	100	1	142782	13	57252	26	7285	69	SAMN03952744	Escherichia coli
SAMEA3345014	4767333	577	8262.28	88220	200	0	0	23632	60	13957	113	4507	225	SAMEA3345014	Escherichia coli
SAMD00179457	4857907	82	59242.77	431810	216	0	0	183735	8	135967	14	90602	22	SAMD00179457	Escherichia coli
SAMN17516789	4429524	475	9325.31	83689	200	0	0	25626	49	14599	96	5420	192	SAMN17516789	Escherichia coli
SAMEA2494303	4584569	534	8585.34	88223	205	0	0	23377	59	13399	111	4617	218	SAMEA2494303	Escherichia coli
SAMN12562645	5574050	350	15925.86	277425	201	0	0	111186	16	68374	28	22645	57	SAMN12562645	Escherichia coli
SAMN29226636	4742795	559	8484.43	88342	201	0	0	25362	57	14985	105	5540	201	SAMN29226636	Escherichia coli
SAMN40646297	5371645	502	10700.49	245760	200	0	0	75545	22	52758	39	12945	75	SAMN40646297	Escherichia coli
SAMEA2205693	5066176	132	38380.12	390173	219	0	0	159537	11	110591	19	36645	32	SAMEA2205693	Escherichia coli
SAMN13348546	4479697	524	8549.04	88310	201	0	0	24460	56	15504	102	6126	190	SAMN13348546	Escherichia coli
SAMN12145149	5304772	204	26003.78	267778	200	0	0	128794	14	93498	23	40176	39	SAMN12145149	Escherichia coli
SAMN30049192	5360374	268	20001.4	516383	205	0	0	196763	9	120956	16	41133	31	SAMN30049192	Escherichia coli
SAMEA5162799	4844459	137	35361.01	529900	200	0	0	314353	6	200619	11	97534	17	SAMEA5162799	Escherichia coli
SAMEA114527553	5199599	145	35859.3	375472	213	0	0	180704	11	91483	19	33764	36	SAMEA114527553	Escherichia coli
SAMN26304962	5161172	128	40321.66	455943	212	0	0	295582	8	193353	12	66990	22	SAMN26304962	Escherichia coli
SAMN04263049	4576363	95	48172.24	314950	222	100	1	175728	10	112455	17	40974	31	SAMN04263049	Escherichia coli
SAMN17516169	5347385	622	8597.08	333524	200	0	0	68218	20	43591	40	14436	80	SAMN17516169	Escherichia coli
SAMN20970140	4889661	114	42891.76	525301	201	0	0	152625	11	105506	18	49159	31	SAMN20970140	Escherichia coli
SAMN31611589	5557514	550	10104.57	256903	200	0	0	92184	22	48927	38	12429	75	SAMN31611589	Escherichia coli
SAMN26186911	5132853	258	19894.78	287640	201	0	0	149226	13	86444	22	26330	43	SAMN26186911	Escherichia coli
SAMD00194577	5361271	352	15230.88	431289	210	0	0	118229	13	73893	25	18015	53	SAMD00194577	Escherichia coli
SAMN39051188	4572750	518	8827.7	89808	200	0	0	32859	44	20512	80	6311	164	SAMN39051188	Escherichia coli
SAMEA5623206	4728485	115	41117.26	263424	207	0	0	112013	15	92304	24	42899	37	SAMEA5623206	Escherichia coli
SAMN40751039	4630957	577	8025.92	137163	200	0	0	30204	46	15668	87	5655	178	SAMN40751039	Escherichia coli
SAMN38051698	6201492	771	8043.44	151020	201	0	0	48591	36	27541	69	6404	151	SAMN38051698	Escherichia coli
SAMN09763619	5420753	339	15990.42	616978	200	0	0	148373	10	81965	19	27552	41	SAMN09763619	Escherichia coli
SAMN41330058	4969763	291	17078.22	315326	207	0	0	105431	16	79965	26	35586	46	SAMN41330058	Escherichia coli
SAMN36302693	5276090	354	14904.21	327134	200	0	0	118677	14	57818	27	16973	57	SAMN36302693	Escherichia coli
SAMEA9477626	4775630	67	71278.06	685324	218	0	0	553621	4	293351	7	79267	14	SAMEA9477626	Escherichia coli
SAMN41594208	5241903	389	13475.33	327268	200	0	0	99886	16	49583	30	14228	65	SAMN41594208	Escherichia coli
SAMN13334877	5039310	252	19997.26	389600	225	0	0	146208	11	105166	19	30987	36	SAMN13334877	Escherichia coli
SAMN38761588	4956892	205	24179.96	218881	203	0	0	89476	18	60831	32	18796	60	SAMN38761588	Escherichia coli
SAMN12773243	5417501	408	13278.19	375389	200	0	0	131772	13	90721	23	25123	46	SAMN12773243	Escherichia coli
SAMN37211249	5194866	174	29855.55	282773	203	0	0	79368	19	53238	36	25773	61	SAMN37211249	Escherichia coli
SAMEA5376735	5441172	231	23554.86	207802	200	0	0	104252	20	71131	32	21323	58	SAMEA5376735	Escherichia coli
SAMN01048063	4561068	100	45610.68	253420	244	0	0	148482	12	95868	20	37860	34	SAMN01048063	Escherichia coli
SAMN08172696	4550190	700	6500.27	70455	200	0	0	18998	74	12299	133	4439	249	SAMN08172696	Escherichia coli
SAMN08941073	5212342	358	14559.61	315233	200	0	0	122672	13	67478	24	12342	57	SAMN08941073	Escherichia coli
SAMN18085340	5235872	222	23585.01	531802	202	0	0	154794	12	83247	21	23099	43	SAMN18085340	Escherichia coli
SAMN33874216	5069181	150	33794.54	533664	201	0	0	362491	6	228541	10	59367	19	SAMN33874216	Escherichia coli
SAMN41091783	5022524	95	52868.67	654471	200	0	0	276575	6	123990	12	63475	22	SAMN41091783	Escherichia coli
SAMEA3697257	4879641	81	60242.48	437746	249	100	1	208737	9	143083	14	60738	25	SAMEA3697257	Escherichia coli
SAMN37211159	4942656	208	23762.77	220186	200	0	0	88212	18	64773	30	24611	54	SAMN37211159	Escherichia coli
SAMEA3641262	4465426	460	9707.45	88244	203	0	0	24280	56	14700	103	5702	195	SAMEA3641262	Escherichia coli
SAMEA104292318	5196963	171	30391.6	710439	202	0	0	194341	9	167112	14	73509	23	SAMEA104292318	Escherichia coli
